Date,Open,High,Low,Close,Volume
2017-04-19,907.84,910.50,897.37,899.20,2870242
2017-04-18,900.99,909.61,900.78,903.78,2999238
2017-04-17,887.50,902.38,887.50,901.99,2854673
2017-04-13,891.45,894.97,884.49,884.67,3174583
2017-04-12,903.09,904.09,895.25,896.23,2456140
2017-04-11,907.04,911.24,897.50,902.36,3012743
2017-04-10,899.63,908.51,899.00,907.04,3184301
2017-04-07,899.65,900.09,889.31,894.88,3710922
2017-04-06,913.80,917.19,894.49,898.28,6344065
2017-04-05,910.82,923.72,905.62,909.28,7508370
2017-04-04,891.50,908.54,890.28,906.83,4984656
2017-04-03,888.00,893.49,885.42,891.51,3422328
2017-03-31,877.00,890.35,876.65,886.54,3957612
2017-03-30,874.95,877.06,871.66,876.34,2762730
2017-03-29,859.05,876.44,859.02,874.32,4485770
2017-03-28,851.75,858.46,850.10,856.00,3041633
2017-03-27,838.07,850.30,833.50,846.82,2755775
2017-03-24,851.68,851.80,843.53,845.61,2138269
2017-03-23,848.20,850.89,844.80,847.38,1952964
2017-03-22,840.43,849.37,839.05,848.06,2658669
2017-03-21,858.84,862.80,841.31,843.20,4382852
2017-03-20,851.51,857.80,851.01,856.97,2282727
2017-03-17,853.49,853.83,850.64,852.31,3384403
2017-03-16,855.30,855.50,850.51,853.42,1842296
2017-03-15,854.33,854.45,847.11,852.97,2562176
2017-03-14,853.55,853.75,847.55,852.53,2130586
2017-03-13,851.77,855.69,851.71,854.59,1909672
2017-03-10,857.00,857.35,851.72,852.46,2436434
2017-03-09,851.00,856.40,850.31,853.00,2048187
2017-03-08,848.00,853.07,846.79,850.50,2288317
2017-03-07,845.48,848.46,843.75,846.02,2247554
2017-03-06,845.23,848.49,841.12,846.61,2610370
2017-03-03,847.20,851.98,846.27,849.88,1951575
2017-03-02,853.08,854.82,847.28,848.91,2132098
2017-03-01,853.05,854.83,849.01,853.08,2760083
2017-02-28,851.45,854.09,842.05,845.04,2793709
2017-02-27,842.38,852.50,839.67,848.64,2713627
2017-02-24,844.69,845.81,837.75,845.24,3687963
2017-02-23,857.57,860.86,848.00,852.19,3461984
2017-02-22,856.95,858.43,852.18,855.61,2616971
2017-02-21,848.84,857.98,847.25,856.44,3507742
2017-02-17,842.00,847.27,840.73,845.07,3112275
2017-02-16,841.84,845.00,839.38,844.14,2714667
2017-02-15,834.00,842.81,832.82,842.70,2968853
2017-02-14,837.00,838.31,831.45,836.39,2792442
2017-02-13,831.62,843.00,828.55,836.53,4172618
2017-02-10,823.82,828.00,822.85,827.46,2429609
2017-02-09,821.60,825.00,819.71,821.36,2484948
2017-02-08,812.69,821.48,812.50,819.71,2857985
2017-02-07,809.31,816.16,807.50,812.50,3466091
2017-02-06,809.80,810.72,803.00,807.64,3897301
2017-02-03,806.72,818.30,804.00,810.20,10868773
2017-02-02,836.59,842.49,828.26,839.95,7350492
2017-02-01,829.21,833.78,824.94,832.35,3850181
2017-01-31,823.75,826.99,819.56,823.48,3137196
2017-01-30,833.00,833.50,816.38,830.38,3747336
2017-01-27,839.00,839.70,829.44,835.77,2998700
2017-01-26,835.53,843.84,833.00,839.15,3586323
2017-01-25,825.79,837.42,825.29,836.52,4023078
2017-01-24,822.00,823.99,814.50,822.44,2971740
2017-01-23,806.80,818.50,805.08,817.88,2797474
2017-01-20,815.28,816.02,806.26,808.33,3376196
2017-01-19,810.00,813.51,807.32,809.04,2540784
2017-01-18,809.50,811.73,804.27,807.48,2354201
2017-01-17,815.70,816.00,803.44,809.72,3670529
2017-01-13,814.32,821.65,811.40,817.14,3791945
2017-01-12,800.31,814.13,799.50,813.64,4873922
2017-01-11,793.66,799.50,789.51,799.02,2992791
2017-01-10,796.60,798.00,789.54,795.90,2558369
2017-01-09,798.00,801.77,791.77,796.92,3446109
2017-01-06,782.36,799.44,778.48,795.99,5986234
2017-01-05,761.55,782.40,760.26,780.45,5830068
2017-01-04,758.39,759.68,754.20,757.18,2510526
2017-01-03,757.92,758.76,747.70,753.67,3521066
2016-12-30,766.47,767.40,748.28,749.87,4139449
2016-12-29,772.40,773.40,760.85,765.15,3158299
2016-12-28,776.25,780.00,770.50,772.13,3301025
2016-12-27,763.40,774.65,761.20,771.40,2638725
2016-12-23,764.55,766.50,757.99,760.59,1981616
2016-12-22,768.12,771.21,763.02,766.34,2543551
2016-12-21,770.00,771.22,765.70,770.60,2044629
2016-12-20,768.65,774.39,767.71,771.22,2703629
2016-12-19,758.89,770.50,756.16,766.00,3113240
2016-12-16,765.00,765.13,754.00,757.77,4848219
2016-12-15,766.28,769.10,760.31,761.00,3801927
2016-12-14,778.25,780.86,762.81,768.82,5454836
2016-12-13,764.96,782.46,762.00,774.34,5285288
2016-12-12,766.40,766.89,757.20,760.12,2963945
2016-12-09,770.00,770.25,765.34,768.66,2470923
2016-12-08,771.87,773.79,765.19,767.33,3189608
2016-12-07,764.55,770.42,755.82,770.42,3684906
2016-12-06,763.99,768.24,757.25,764.72,3794746
2016-12-05,745.00,761.49,742.00,759.36,4314723
2016-12-02,743.40,748.49,736.70,740.34,3561307
2016-12-01,752.41,753.37,738.03,743.65,4665993
2016-11-30,762.00,768.09,750.25,750.57,4625946
2016-11-29,768.00,769.89,761.32,762.52,3272344
2016-11-28,776.99,777.00,764.24,766.77,4438828
2016-11-25,786.50,786.75,777.90,780.37,1837068
2016-11-23,781.73,781.75,773.12,780.12,3540263
2016-11-22,788.17,792.40,781.00,785.33,5311320
2016-11-21,766.00,780.35,765.11,780.00,4614574
2016-11-18,761.00,767.74,757.64,760.16,4373408
2016-11-17,749.32,757.50,748.00,756.40,3651345
2016-11-16,739.88,749.87,735.61,746.49,3648791
2016-11-15,730.00,746.78,725.99,743.24,6755785
2016-11-14,745.51,746.00,710.10,719.07,7321344
2016-11-11,735.73,743.26,728.90,739.01,6622784
2016-11-10,778.81,778.83,717.70,742.38,12746994
2016-11-09,764.00,777.50,760.09,771.88,8562892
2016-11-08,784.97,791.74,779.10,787.75,3412629
2016-11-07,771.64,787.73,770.94,784.93,5984354
2016-11-04,762.79,766.00,753.23,755.05,5122103
2016-11-03,765.05,777.00,764.00,767.03,3872496
2016-11-02,783.93,784.75,763.55,765.56,5026504
2016-11-01,799.00,800.84,776.71,785.41,5305428
2016-10-31,781.03,793.70,780.11,789.82,5413326
2016-10-28,782.00,789.49,774.61,776.32,10841073
2016-10-27,831.24,831.72,815.43,818.36,7406385
2016-10-26,832.76,833.44,820.00,822.59,3998102
2016-10-25,839.30,843.09,833.22,835.18,3248358
2016-10-24,824.95,838.30,822.21,838.09,4060899
2016-10-21,809.36,819.42,809.00,818.99,2793015
2016-10-20,813.99,815.71,803.10,810.32,3151954
2016-10-19,820.40,820.67,815.17,817.69,2090706
2016-10-18,822.11,823.26,815.02,817.65,2512504
2016-10-17,821.50,822.00,811.68,812.95,3361492
2016-10-14,835.08,835.74,822.96,822.96,2999814
2016-10-13,829.00,831.80,821.21,829.28,3091387
2016-10-12,834.00,837.67,830.10,834.09,2380416
2016-10-11,841.02,841.29,828.35,831.00,3588180
2016-10-10,843.25,845.20,840.27,841.71,1827143
2016-10-07,845.79,845.95,837.45,839.43,2426228
2016-10-06,843.70,847.21,840.60,841.66,2684013
2016-10-05,838.00,845.67,836.12,844.36,3469055
2016-10-04,840.91,842.36,830.26,834.03,2950314
2016-10-03,836.00,839.86,831.25,836.74,2769448
2016-09-30,832.61,839.95,832.40,837.31,4430566
2016-09-29,828.26,837.50,824.63,829.05,4922248
2016-09-28,818.00,830.14,817.03,828.72,4422078
2016-09-27,801.85,816.64,801.11,816.11,3819600
2016-09-26,801.80,805.93,797.14,799.16,2651397
2016-09-23,803.13,807.75,802.12,805.75,2353511
2016-09-22,794.27,805.89,794.27,804.70,4078910
2016-09-21,783.25,790.69,779.01,789.74,2718644
